iter	Passed	Remaining
0	2	1494
1	5	1461
2	9	1492
3	12	1507
4	19	1922
5	24	1999
6	29	2074
7	32	2021
8	36	1990
9	41	2010
10	44	1972
11	46	1910
12	49	1854
13	52	1807
14	54	1765
15	59	1789
16	62	1785
17	65	1753
18	68	1723
19	70	1696
20	74	1703
21	77	1683
22	80	1660
23	82	1638
24	85	1617
25	87	1599
26	90	1581
27	92	1566
28	95	1551
29	97	1533
30	100	1518
31	102	1503
32	105	1491
33	107	1478
34	110	1467
35	112	1454
36	115	1441
37	117	1428
38	120	1420
39	122	1410
40	125	1400
41	127	1391
42	129	1380
43	132	1370
44	134	1360
45	137	1352
46	139	1344
47	141	1336
48	144	1329
49	146	1320
50	149	1313
51	151	1306
52	153	1298
53	156	1291
54	158	1286
55	161	1278
56	163	1271
57	165	1264
58	168	1257
59	170	1252
60	173	1246
61	175	1240
62	178	1234
63	180	1228
64	182	1222
65	185	1217
66	187	1212
67	189	1206
68	192	1201
69	194	1195
70	197	1191
71	199	1185
72	201	1180
73	204	1175
74	206	1171
75	208	1165
76	211	1160
77	213	1156
78	216	1156
79	220	1156
80	222	1152
81	225	1148
82	227	1143
83	230	1139
84	232	1134
85	234	1131
86	237	1127
87	239	1122
88	242	1117
89	244	1113
90	246	1109
91	249	1106
92	251	1102
93	254	1098
94	256	1094
95	259	1090
96	261	1087
97	264	1084
98	267	1081
99	269	1077
100	271	1073
101	274	1069
102	276	1065
103	278	1061
104	281	1058
105	283	1054
106	286	1050
107	288	1047
108	290	1043
109	293	1039
110	295	1035
111	298	1032
112	300	1028
113	302	1025
114	305	1021
115	307	1017
116	309	1014
117	312	1011
118	314	1007
119	317	1003
120	319	1000
121	321	997
122	324	993
123	326	990
124	328	986
125	331	983
126	333	980
127	336	976
128	338	973
129	340	969
130	343	966
131	345	963
132	347	959
133	350	956
134	352	953
135	354	950
136	357	946
137	359	943
138	362	940
139	364	937
140	366	933
141	369	930
142	371	927
143	373	924
144	376	921
145	378	917
146	380	914
147	383	911
148	385	908
149	387	905
150	390	902
151	392	898
152	395	896
153	398	896
154	402	896
155	405	893
156	407	891
157	410	888
158	412	885
159	415	882
160	417	879
161	420	876
162	422	873
163	424	870
164	427	867
165	429	864
166	431	861
167	434	858
168	436	854
169	438	852
170	441	849
171	443	846
172	446	843
173	448	840
174	451	837
175	453	834
176	455	831
177	457	828
178	460	825
179	462	822
180	465	819
181	467	816
182	469	813
183	472	810
184	474	807
185	476	805
186	479	802
187	481	799
188	484	796
189	486	793
190	488	790
191	491	787
192	492	783
193	494	780
194	497	777
195	499	774
196	501	772
197	504	769
198	506	766
199	508	763
200	511	760
201	513	757
202	515	754
203	518	751
204	519	748
205	522	745
206	524	742
207	527	739
208	529	737
209	531	734
210	534	731
211	536	728
212	538	726
213	541	723
214	543	720
215	546	717
216	548	715
217	550	712
218	553	709
219	555	706
220	557	704
221	560	701
222	562	699
223	565	696
224	567	693
225	569	690
226	572	688
227	574	685
228	577	682
229	579	680
230	581	677
231	584	674
232	586	672
233	589	669
234	591	666
235	593	664
236	596	661
237	598	658
238	600	656
239	603	653
240	605	651
241	608	648
242	610	645
243	612	643
244	615	640
245	617	637
246	620	635
247	622	632
248	625	630
249	627	627
250	629	624
251	632	622
252	634	619
253	637	617
254	639	614
255	641	611
256	644	609
257	646	606
258	648	603
259	651	601
260	653	598
261	655	595
262	658	593
263	660	590
264	662	587
265	665	585
266	667	582
267	670	580
268	672	577
269	675	575
270	677	572
271	680	570
272	683	568
273	685	565
274	688	563
275	690	560
276	693	558
277	696	555
278	698	553
279	701	551
280	704	548
281	706	546
282	709	543
283	711	541
284	714	538
285	717	536
286	719	533
287	721	531
288	724	528
289	726	526
290	729	523
291	732	521
292	734	518
293	736	516
294	739	513
295	741	511
296	744	508
297	747	506
298	749	504
299	752	501
300	754	499
301	757	496
302	759	493
303	762	491
304	764	488
305	767	486
306	769	484
307	772	481
308	774	478
309	777	476
310	779	473
311	782	471
312	785	469
313	788	466
314	791	464
315	793	462
316	796	460
317	799	457
318	801	454
319	804	452
320	806	449
321	808	447
322	812	445
323	815	442
324	817	440
325	820	437
326	823	435
327	826	433
328	828	430
329	831	428
330	833	425
331	836	423
332	838	420
333	841	418
334	844	415
335	846	413
336	849	410
337	851	408
338	854	405
339	856	403
340	859	400
341	862	398
342	864	395
343	866	393
344	869	390
345	872	388
346	875	385
347	877	383
348	880	380
349	883	378
350	886	376
351	888	373
352	891	371
353	894	368
354	896	366
355	899	363
356	901	361
357	904	358
358	906	356
359	909	353
360	911	351
361	914	348
362	916	345
363	919	343
364	921	340
365	924	338
366	927	336
367	929	333
368	932	330
369	934	328
370	936	325
371	939	323
372	941	320
373	944	318
374	946	315
375	948	312
376	951	310
377	953	307
378	956	305
379	958	302
380	961	300
381	963	297
382	965	295
383	968	292
384	970	289
385	973	287
386	975	284
387	978	282
388	980	279
389	983	277
390	985	274
391	988	272
392	990	269
393	993	267
394	995	264
395	997	262
396	1000	259
397	1002	256
398	1005	254
399	1007	251
400	1009	249
401	1012	246
402	1014	244
403	1017	241
404	1019	239
405	1022	236
406	1024	234
407	1027	231
408	1029	229
409	1032	226
410	1034	224
411	1037	221
412	1039	218
413	1042	216
414	1044	213
415	1046	211
416	1049	208
417	1051	206
418	1053	203
419	1056	201
420	1058	198
421	1060	196
422	1063	193
423	1065	191
424	1068	188
425	1070	185
426	1072	183
427	1075	180
428	1077	178
429	1079	175
430	1082	173
431	1084	170
432	1086	168
433	1089	165
434	1091	163
435	1094	160
436	1096	158
437	1098	155
438	1102	153
439	1104	150
440	1107	148
441	1109	145
442	1112	143
443	1114	140
444	1117	138
445	1119	135
446	1122	133
447	1125	130
448	1127	128
449	1129	125
450	1132	123
451	1135	120
452	1137	118
453	1140	115
454	1143	113
455	1145	110
456	1148	108
457	1150	105
458	1153	103
459	1155	100
460	1157	97
461	1160	95
462	1162	92
463	1165	90
464	1167	87
465	1170	85
466	1172	82
467	1175	80
468	1177	77
469	1180	75
470	1182	72
471	1185	70
472	1187	67
473	1189	65
474	1192	62
475	1194	60
476	1197	57
477	1199	55
478	1202	52
479	1204	50
480	1206	47
481	1209	45
482	1211	42
483	1213	40
484	1216	37
