CLIENT_ID,AGE,MAN,INCOME,IP_FLAG,SME_FLAG,REFUGEE_FLAG,PDN,paid_off_count,active_count,active_sum,max_term,credits_delay_count,cards_count,cards_delay_count,MATRIAL_Вдовец / Вдова,MATRIAL_Гражданский брак,MATRIAL_Женат / замужем,MATRIAL_Не женат / не замужем,MATRIAL_Неизвестно,MATRIAL_Разведен / Разведена,DELAY
22,37,1,105000,0,0,0,60.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
23,33,1,80000,0,0,0,8.4,0,1,48300.0,24,0,0,0,0,0,0,1,0,0,False
49,47,0,40000,0,0,0,82.4,0,0,0.0,0,0,1,0,0,0,0,1,0,0,False
53,36,0,35000,0,0,0,118.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
55,43,0,100000,0,0,0,49.8,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
118,76,1,35000,0,0,0,8.3,0,1,60036.0,24,0,0,0,0,0,0,1,0,0,False
143,38,1,50000,0,0,0,36.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
144,70,0,115000,0,0,0,71.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
145,69,0,50000,0,0,0,16.1,0,0,0.0,0,0,1,0,0,0,0,0,0,1,False
148,54,0,60000,0,0,0,46.7,0,0,0.0,0,0,0,0,1,0,0,0,0,0,False
154,31,1,250000,0,0,0,6.2,0,0,0.0,0,0,0,0,0,0,0,0,0,1,False
174,40,1,30000,0,0,0,12.3,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
182,29,0,60000,0,0,0,23.8,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
198,55,1,70000,0,0,0,108.2,0,0,0.0,0,0,1,0,0,0,1,0,0,0,False
217,39,0,60000,0,0,0,4.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
224,49,0,270000,0,0,0,32.2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
226,32,0,120000,0,0,0,19.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
240,33,1,150000,0,0,0,33.3,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
245,38,1,97000,0,0,0,23.4,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
255,43,1,80000,0,0,0,33.6,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
270,27,1,41000,0,0,0,78.1,0,0,0.0,0,0,1,0,0,0,0,0,0,1,False
271,42,1,120000,0,0,0,42.6,0,1,499999.0,60,0,1,0,0,0,0,0,1,0,False
276,35,1,95000,0,0,0,52.5,0,0,0.0,0,0,0,0,0,0,0,1,0,0,False
285,30,0,60000,0,0,0,9.1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
316,32,1,30000,0,0,0,87.9,0,0,0.0,0,0,0,0,0,0,1,0,0,0,False
321,36,0,150000,0,0,0,75.8,0,0,0.0,0,0,1,0,0,0,0,0,1,0,False
347,21,0,70000,0,0,0,41.9,0,1,76169.0,18,0,0,0,0,0,0,1,0,0,False
