CLIENT_ID,AGE,MAN,INCOME,IP_FLAG,SME_FLAG,REFUGEE_FLAG,PDN,paid_off_count,active_count,active_sum,max_term,credits_delay_count,cards_count,MATRIAL_Вдовец / Вдова,MATRIAL_Гражданский брак,MATRIAL_Женат / замужем,MATRIAL_Не женат / не замужем,MATRIAL_Неизвестно,MATRIAL_Разведен / Разведена,CС_LIMIT_NVAL,СС_GRACE_PERIOD,CURR_RATE,delay,PC_bb,PC_blockbuster,PC_grace,PC_other
22,37,1,105000,0,0,0,60.8,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,55,33.9,0,0,1,0,0
49,47,0,40000,0,0,0,82.4,0,0,0.0,0,0,1,0,0,0,1,0,0,30000.0,353,33.9,0,0,1,0,0
53,36,0,35000,0,0,0,118.5,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,146,14.9,0,0,0,1,0
55,43,0,100000,0,0,0,49.8,0,0,0.0,0,0,1,0,0,1,0,0,0,153000.0,85,14.9,0,0,0,1,0
144,70,0,115000,0,0,0,71.8,0,0,0.0,0,0,1,0,0,0,0,1,0,29500.0,358,33.9,0,0,1,0,0
145,69,0,50000,0,0,0,16.1,0,0,0.0,0,0,1,0,0,0,0,0,1,75000.0,56,28.9,0,0,0,0,1
198,55,1,70000,0,0,0,108.2,0,0,0.0,0,0,1,0,0,1,0,0,0,80000.0,115,14.9,0,0,0,1,0
224,49,0,270000,0,0,0,32.2,0,0,0.0,0,0,1,0,0,0,0,1,0,301000.0,39,29.9,0,0,0,0,1
255,43,1,80000,0,0,0,33.6,0,0,0.0,0,0,1,0,0,0,0,1,0,299000.0,55,31.9,0,0,1,0,0
270,27,1,41000,0,0,0,78.1,0,0,0.0,0,0,1,0,0,0,0,0,1,62000.0,85,69.9,0,0,0,1,0
271,42,1,120000,0,0,0,42.6,0,1,499999.0,60,0,1,0,0,0,0,1,0,150001.0,86,14.9,0,0,0,1,0
321,36,0,150000,0,0,0,75.8,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,298,31.9,0,0,1,0,0
385,30,1,90000,0,0,0,89.8,0,0,0.0,0,0,1,0,0,1,0,0,0,55001.0,351,31.9,0,0,1,0,0
439,51,1,65000,0,0,0,27.9,0,0,0.0,0,0,1,0,0,0,0,1,0,80000.0,328,31.9,0,0,1,0,0
451,31,1,190000,0,0,0,45.9,0,0,0.0,0,0,1,0,0,0,1,0,0,299000.0,329,31.9,0,0,1,0,0
452,26,1,120000,0,0,0,14.7,0,0,0.0,0,0,1,0,0,0,1,0,0,80000.0,177,14.9,0,0,0,1,0
676,47,1,35000,0,0,0,33.8,0,0,0.0,0,0,1,0,0,0,0,1,0,40000.0,56,24.9,1,0,0,1,0
700,38,0,220000,0,0,0,57.5,0,0,0.0,0,0,1,0,0,0,0,1,0,40000.0,115,14.9,0,0,0,1,0
708,64,1,13100,0,0,0,66.9,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,306,31.9,0,0,1,0,0
731,28,1,300000,0,0,0,29.6,0,0,0.0,0,0,1,0,0,0,0,1,0,67000.0,88,31.9,0,0,1,0,0
736,35,1,96800,0,0,0,34.2,0,0,0.0,0,0,1,0,0,0,0,1,0,50000.0,311,31.9,0,0,1,0,0
738,33,1,39000,0,0,0,44.7,0,0,0.0,0,0,1,0,0,0,0,1,0,170000.0,207,31.9,0,0,1,0,0
795,38,1,80000,0,0,0,31.6,0,0,0.0,0,0,1,0,0,1,0,0,0,201000.0,61,69.9,0,0,0,1,0
807,34,1,180000,0,0,0,139.8,0,1,929999.13,60,0,1,0,0,0,0,1,0,195000.0,86,14.9,0,0,0,1,0
861,53,0,130000,0,0,0,44.8,0,0,0.0,0,0,1,0,0,0,1,0,0,30000.0,325,33.9,0,0,1,0,0
904,69,1,28000,0,0,0,78.9,0,0,0.0,0,0,1,0,0,1,0,0,0,47000.0,508,14.9,0,0,0,1,0
925,34,1,83600,0,0,0,44.8,0,0,0.0,0,0,1,0,0,1,0,0,0,120000.0,86,14.9,0,0,0,1,0
967,36,1,130000,0,0,0,136.8,0,0,0.0,0,0,1,0,0,0,1,0,0,40000.0,56,14.9,0,0,0,1,0
982,22,1,80000,0,0,0,8.4,0,0,0.0,0,0,1,0,0,0,1,0,0,200000.0,328,31.9,0,0,1,0,0
987,57,1,46500,0,0,0,32.8,0,1,50400.0,24,0,1,0,0,0,0,1,0,59000.0,328,31.9,0,0,1,0,0
1002,48,1,150000,0,0,0,30.8,0,0,0.0,0,0,1,0,0,0,0,1,0,60000.0,320,31.9,0,0,1,0,0
1007,40,1,50000,0,0,0,92.2,0,1,823789.52,60,0,1,0,0,0,0,1,0,104000.0,345,14.9,0,0,0,1,0
1018,54,1,50000,0,0,0,129.4,0,0,0.0,0,0,1,0,0,0,0,1,0,40000.0,56,31.9,1,0,1,0,0
1033,56,1,45000,0,0,0,51.8,0,0,0.0,0,0,1,0,0,0,0,1,0,30000.0,86,33.9,0,0,1,0,0
1040,50,1,50000,0,0,0,50.1,0,0,0.0,0,0,2,0,0,0,0,1,0,20001.0,281,31.9,0,0,1,0,0
1040,50,1,50000,0,0,0,50.1,0,0,0.0,0,0,2,0,0,0,0,1,0,64000.0,56,14.9,0,0,0,1,0
1061,51,0,100000,0,0,0,26.8,0,0,0.0,0,0,1,0,0,0,0,1,0,201000.0,86,14.9,0,0,0,1,0
1070,39,1,75000,0,0,0,74.5,0,1,435998.98,60,0,1,0,0,0,0,1,0,80000.0,56,35.9,0,0,0,1,0
1097,32,0,50000,0,0,0,22.6,0,0,0.0,0,0,1,0,0,0,0,1,0,29500.0,353,31.9,0,0,1,0,0
1106,48,0,52000,0,0,0,94.5,0,0,0.0,0,0,1,0,0,0,0,1,0,40001.0,267,27.9,0,0,1,0,0
1121,38,0,430000,0,0,0,89.4,0,0,0.0,0,0,1,0,0,1,0,0,0,30000.0,117,14.9,0,0,0,1,0
1146,29,0,80000,0,0,0,32.0,0,0,0.0,0,0,1,0,0,0,0,1,0,200000.0,115,31.9,0,0,0,1,0
1196,45,0,195000,0,0,0,9.2,0,0,0.0,0,0,1,0,0,1,0,0,0,251000.0,74,33.9,0,0,1,0,0
1249,28,1,195000,0,0,0,44.1,0,0,0.0,0,0,1,0,0,0,0,1,0,96910.99,357,31.9,0,0,1,0,0
1250,54,0,40000,0,0,0,8.6,0,0,0.0,0,0,1,0,0,0,0,1,0,136000.0,144,20.9,0,1,0,0,0
