CLIENT_ID,AGE,MAN,INCOME,IP_FLAG,SME_FLAG,REFUGEE_FLAG,PDN,paid_off_count,active_count,active_sum,max_term,credits_delay_count,cards_count,cards_delay_count,MATRIAL_Вдовец / Вдова,MATRIAL_Гражданский брак,MATRIAL_Женат / замужем,MATRIAL_Не женат / не замужем,MATRIAL_Неизвестно,MATRIAL_Разведен / Разведена,TERM,ORIG_AMOUNT,CURR_RATE_NVAL,delay,CT_501,CT_503,CT_506,CT_704,CT_705,CT_707,CT_708,CT_709,PC_GP Cross-Sale,PC_GP Direct,PC_GP External Refinance,PC_GP Refinance,PC_GP Top-Up,PC_Promo Beneficial Installment Loan,PC_Promo Rate Installment Loan,PC_Standard Installment Loan
23,33,1,80000,0,0,0,8.4,0,1,48300.0,24,0,0,0,0,0,0,1,0,0,24,48300.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,76,1,35000,0,0,0,8.3,0,1,60036.0,24,0,0,0,0,0,0,1,0,0,24,60036.0,15.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,42,1,120000,0,0,0,42.6,0,1,499999.0,60,0,1,0,0,0,0,0,1,0,60,499999.0,14.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
347,21,0,70000,0,0,0,41.9,0,1,76169.0,18,0,0,0,0,0,0,1,0,0,18,76169.0,20.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
706,66,1,37700,0,0,0,27.6,1,0,0.0,12,0,0,0,0,0,0,1,0,0,12,88224.55,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
712,75,1,21500,0,0,0,40.2,0,1,93701.4,24,0,0,0,0,0,0,1,0,0,24,93701.4,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
715,22,1,85000,0,0,0,10.9,0,1,56154.22,24,0,0,0,0,1,0,0,0,0,24,56154.22,15.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
724,33,1,85000,0,0,0,56.7,0,1,448126.39,60,0,0,0,0,0,0,0,1,0,60,448126.39,19.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
730,47,0,60000,0,0,0,131.9,0,1,55799.1,24,0,0,0,0,0,0,0,0,1,24,55799.1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
807,34,1,180000,0,0,0,139.8,0,1,929999.13,60,0,1,0,0,0,0,0,1,0,60,929999.13,15.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
830,55,0,80000,0,0,0,23.2,0,1,142945.8,24,0,0,0,0,0,1,0,0,0,24,142945.8,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
987,57,1,46500,0,0,0,32.8,0,1,50400.0,24,0,1,0,0,0,0,0,1,0,24,50400.0,14.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1007,40,1,50000,0,0,0,92.2,0,1,823789.52,60,0,1,0,0,0,0,0,1,0,60,823789.52,14.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1070,39,1,75000,0,0,0,74.5,0,1,435998.98,60,0,1,0,0,0,0,0,1,0,60,435998.98,10.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1240,54,1,60000,0,0,0,48.3,0,1,47972.63,15,0,0,0,0,0,0,1,0,0,15,47972.63,14.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1246,46,1,145000,0,0,0,41.8,1,0,0.0,39,0,0,0,0,0,0,0,0,1,39,59945.0,24.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1247,30,1,215000,0,0,0,105.0,0,1,1359000.0,48,0,0,0,0,0,0,0,1,0,48,1359000.0,10.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1248,47,0,70000,0,0,0,97.0,0,1,685999.6,60,0,0,0,0,0,0,0,1,0,60,685999.6,13.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1276,29,0,87672,0,0,0,39.2,0,1,58618.0,18,0,1,0,0,0,0,0,1,0,18,58618.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1646,37,1,30000,0,0,0,34.3,0,1,19860.0,24,0,1,0,0,0,1,0,0,0,24,19860.0,22.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1672,23,0,67000,0,0,0,11.7,0,1,72309.0,24,0,0,0,0,0,0,1,0,0,24,72309.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1692,49,1,100000,0,0,0,36.1,0,1,499998.78,36,0,1,0,0,0,0,1,0,0,36,499998.78,10.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1701,34,0,130000,0,0,0,17.8,0,1,64474.0,24,0,0,0,0,0,1,0,0,0,24,64474.0,13.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1753,41,0,30000,0,0,0,63.7,0,1,35999.0,24,0,0,0,0,0,1,0,0,0,24,35999.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1986,32,1,15000,0,0,0,15.4,0,1,15330.0,12,0,0,0,0,0,1,0,0,0,12,15330.0,20.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2035,54,0,110000,0,0,0,51.7,0,1,299900.0,60,0,0,0,0,0,0,0,1,0,60,299900.0,10.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2038,41,1,39000,0,0,0,23.6,0,1,521267.74,60,0,1,0,0,0,0,0,1,0,60,521267.74,9.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2052,22,1,75000,0,0,0,74.7,0,1,360000.0,36,0,0,0,0,0,0,0,1,0,36,360000.0,10.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2056,50,0,60000,0,0,0,43.3,1,0,0.0,18,0,1,0,0,0,0,0,1,0,18,42999.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2064,31,1,50000,0,0,0,34.8,0,1,190000.0,36,0,1,0,0,0,0,0,1,0,36,190000.0,27.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2074,28,1,91000,0,0,0,94.8,0,1,724999.44,59,0,0,0,0,0,0,0,1,0,59,724999.44,23.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2089,32,0,80000,0,0,0,60.7,0,1,52531.0,24,0,0,0,0,0,0,0,0,1,24,52531.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2095,51,0,60000,0,0,0,48.9,0,1,144055.0,24,0,2,0,0,0,0,0,1,0,24,144055.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2116,37,1,45000,0,0,0,59.3,0,1,120000.0,36,0,0,0,0,0,1,0,0,0,36,120000.0,6.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2132,51,1,30000,0,0,0,23.0,0,1,20269.08,12,0,1,0,0,0,0,0,1,0,12,20269.08,16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2290,26,0,29000,0,0,0,30.8,0,1,67155.2,24,0,0,0,0,0,0,0,1,0,24,67155.2,10.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2298,44,1,95000,0,0,0,77.3,0,1,1284998.73,60,0,1,0,0,0,0,0,1,0,60,1284998.73,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2318,51,1,66500,0,0,0,78.4,0,1,110739.0,24,0,0,0,0,0,1,0,0,0,24,110739.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2324,30,0,42000,0,0,0,41.4,0,1,35396.0,24,0,0,0,0,0,0,1,0,0,24,35396.0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2345,32,0,21800,0,0,0,27.9,0,1,79400.0,24,0,0,0,0,0,1,0,0,0,24,79400.0,13.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2875,43,1,40000,0,0,0,45.4,0,1,100000.0,48,0,1,1,0,0,0,0,1,0,48,100000.0,10.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2934,39,0,75000,0,0,0,55.5,0,1,299998.12,36,0,1,1,0,0,0,0,1,0,36,299998.12,15.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3103,38,0,100000,0,0,0,67.0,0,2,1826900.0,60,0,1,0,0,0,0,0,1,0,59,1159000.0,17.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3103,38,0,100000,0,0,0,67.0,0,2,1826900.0,60,0,1,0,0,0,0,0,1,0,60,667900.0,14.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3109,53,1,90000,0,0,0,87.7,1,0,0.0,57,0,1,0,0,0,0,0,1,0,57,373282.17,19.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3145,25,1,250000,0,0,0,9.9,0,1,117110.55,60,0,1,0,0,0,0,0,1,0,60,117110.55,14.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3147,42,1,55000,0,0,0,72.5,0,1,364889.13,60,0,0,0,0,0,1,0,0,0,60,364889.13,18.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3181,26,1,75000,0,0,0,142.0,0,1,923998.93,59,0,0,0,0,0,0,0,1,0,59,923998.93,18.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3237,45,0,65000,0,0,0,17.2,0,1,113404.0,24,0,0,0,0,0,1,0,0,0,24,113404.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3238,23,1,45000,0,0,0,18.0,0,1,123241.0,24,0,0,0,0,0,0,1,0,0,24,123241.0,15.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3434,47,1,115000,0,0,0,20.7,0,2,63681.3,24,0,0,0,0,0,0,1,0,0,24,21699.0,14.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3434,47,1,115000,0,0,0,20.7,0,2,63681.3,24,0,0,0,0,0,0,1,0,0,24,41982.3,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3442,28,0,40000,0,0,0,5.1,0,1,60634.84,13,0,0,0,0,0,0,1,0,0,13,60634.84,16.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3474,38,1,61000,0,0,0,17.1,1,1,18698.0,24,0,0,0,0,0,0,0,0,1,24,40195.2,24.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3474,38,1,61000,0,0,0,17.1,1,1,18698.0,24,0,0,0,0,0,0,0,0,1,24,18698.0,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3483,22,1,45000,0,0,0,22.1,0,1,121498.0,24,0,0,0,0,0,0,1,0,0,24,121498.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3489,48,1,45000,0,0,0,51.0,0,1,71546.0,24,0,0,0,0,0,0,0,0,1,24,71546.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3493,30,1,33500,0,0,0,45.2,0,1,66976.0,24,0,0,0,0,0,0,1,0,0,24,66976.0,10.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3520,51,0,30000,0,0,0,50.9,0,1,28159.0,24,0,1,0,0,0,0,0,1,0,24,28159.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3569,22,1,35000,0,0,0,57.7,0,1,299998.38,36,0,0,0,0,0,0,1,0,0,36,299998.38,10.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3583,48,0,20000,0,0,0,4.0,1,0,0.0,12,0,0,0,0,0,0,1,0,0,12,25480.0,21.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3604,55,1,50000,0,0,0,59.7,0,1,327172.0,60,0,0,0,0,0,0,0,1,0,60,327172.0,18.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3613,53,1,62000,0,0,0,57.3,0,1,43200.0,24,0,0,0,0,0,0,0,0,1,24,43200.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3751,38,1,225000,0,0,0,30.7,0,1,299998.82,24,0,1,0,0,0,0,0,1,0,24,299998.82,13.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3753,23,1,20000,0,0,0,19.7,0,2,105239.6,36,0,0,0,0,0,1,0,0,0,36,38798.0,14.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3753,23,1,20000,0,0,0,19.7,0,2,105239.6,36,0,0,0,0,0,1,0,0,0,36,66441.6,23.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3777,42,1,40000,0,0,0,36.0,0,1,190000.0,36,0,0,0,0,0,0,1,0,0,36,190000.0,16.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3888,38,1,40000,0,0,0,42.6,0,1,1000000.0,59,0,0,0,0,0,0,0,1,0,59,1000000.0,10.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3889,67,1,15000,0,0,0,145.5,0,1,199276.0,60,0,0,0,0,0,0,0,1,0,60,199276.0,16.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3922,42,1,15000,0,0,0,49.0,0,1,26488.0,18,0,0,0,0,0,1,0,0,0,18,26488.0,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3988,33,1,95000,0,0,0,54.3,0,1,101480.0,36,0,1,0,0,0,1,0,0,0,36,101480.0,16.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3997,30,1,53000,0,0,0,12.5,0,1,152077.35,48,0,0,0,0,0,0,0,1,0,48,152077.35,29.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4001,24,1,53000,0,0,0,17.9,0,1,78743.0,12,0,0,0,0,0,0,1,0,0,12,78743.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4011,24,1,60000,0,0,0,117.6,0,1,115705.0,60,0,0,0,0,0,1,0,0,0,60,115705.0,21.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4086,61,1,30000,0,0,0,8.5,0,1,23896.0,10,0,0,0,0,0,0,1,0,0,10,23896.0,22.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4143,46,1,40000,0,0,0,10.9,0,1,720000.0,60,0,2,0,0,0,0,0,1,0,60,720000.0,12.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4206,49,1,100000,0,0,0,17.6,0,1,446744.61,24,0,0,0,0,0,0,1,0,0,24,446744.61,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4223,21,1,50000,0,0,0,25.8,0,1,66340.1,18,0,0,0,0,0,0,1,0,0,18,66340.1,20.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4253,34,0,95000,0,0,0,57.3,0,1,526876.0,60,0,0,0,0,0,1,0,0,0,60,526876.0,15.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4278,37,1,108000,0,0,0,113.6,0,1,299999.0,36,0,0,0,0,0,0,1,0,0,36,299999.0,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4289,62,0,63000,0,0,0,159.4,1,1,148128.0,24,1,0,0,0,0,1,0,0,0,24,148128.0,18.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4289,62,0,63000,0,0,0,159.4,1,1,148128.0,24,1,0,0,0,0,1,0,0,0,12,137181.2,20.98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4295,46,0,53000,0,0,0,12.2,0,1,101799.0,24,0,0,0,0,0,1,0,0,0,24,101799.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4313,37,1,45000,0,0,0,39.6,0,2,486785.44,60,0,0,0,0,0,1,0,0,0,60,50000.0,27.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4313,37,1,45000,0,0,0,39.6,0,2,486785.44,60,0,0,0,0,0,1,0,0,0,60,436785.44,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4347,43,1,70000,0,0,0,36.5,1,1,82254.0,18,0,0,0,0,0,0,1,0,0,18,82254.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4347,43,1,70000,0,0,0,36.5,1,1,82254.0,18,0,0,0,0,0,0,1,0,0,12,122761.0,18.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4449,25,1,35000,0,0,0,49.0,0,1,173550.0,36,0,0,0,0,0,1,0,0,0,36,173550.0,16.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4456,27,1,50000,0,0,0,18.4,0,1,75688.0,24,0,0,0,0,0,1,0,0,0,24,75688.0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4479,31,0,40000,0,0,0,73.2,0,1,2000000.0,48,0,0,0,0,0,0,0,1,0,48,2000000.0,10.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4522,50,1,95000,0,0,0,23.3,0,1,60005.0,24,0,0,0,0,0,0,0,0,1,24,60005.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4540,27,1,35000,0,0,0,84.9,0,1,299001.0,39,0,0,0,0,0,0,0,1,0,39,299001.0,6.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4566,25,1,40000,0,0,0,57.2,0,1,29798.0,36,0,0,0,0,0,0,1,0,0,36,29798.0,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4579,42,0,50000,0,0,0,70.0,0,1,23111.64,18,0,0,0,0,0,0,1,0,0,18,23111.64,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4593,37,0,75000,0,0,0,6.9,1,0,0.0,13,0,0,0,0,0,1,0,0,0,13,46860.0,18.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4621,23,1,70000,0,0,0,43.2,0,1,143592.0,24,0,0,0,0,0,0,1,0,0,24,143592.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4645,29,1,50000,0,0,0,47.9,0,2,139850.0,48,0,0,0,0,0,1,0,0,0,48,100000.0,10.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4645,29,1,50000,0,0,0,47.9,0,2,139850.0,48,0,0,0,0,0,1,0,0,0,24,39850.0,18.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4730,35,1,45000,0,0,0,62.6,0,1,459613.0,60,0,0,0,0,0,0,1,0,0,60,459613.0,6.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4733,34,0,160000,0,0,0,38.7,0,1,1000000.0,60,0,1,0,0,0,0,0,1,0,60,1000000.0,15.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4742,27,1,60000,0,0,0,32.1,0,1,206590.38,24,0,1,0,0,0,0,0,1,0,24,206590.38,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4746,45,1,97000,0,0,0,60.2,1,1,361861.76,60,0,0,0,0,0,0,0,1,0,24,71952.0,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
